Borough,Latitude,Longitude
QUEENS,40.75337911,-73.82217121
BROOKLYN,40.66441499,-73.9016288
MANHATTAN,40.76406836,-73.98110206
BROOKLYN,40.6803765,-73.9491712
BRONX,40.88233122,-73.881666
MANHATTAN,40.75371052,-73.98704601
MANHATTAN,40.75371052,-73.98704601
BRONX,40.85818882,-73.8928541
QUEENS,40.74778648,-73.89160249
BROOKLYN,40.67533331,-73.93607764
MANHATTAN,40.75080569,-73.98073047
QUEENS,40.73549748,-73.86970159
MANHATTAN,40.7514327,-73.9903092
QUEENS,40.68737393,-73.79469453
MANHATTAN,40.71827895,-73.99189047
MANHATTAN,40.75647969,-73.96129883
MANHATTAN,40.7054166,-74.01243966
BROOKLYN,40.62413205,-74.0307749
BRONX,40.88609817,-73.90700046
QUEENS,40.70221475,-73.90670518
BRONX,40.8368952,-73.84654043
QUEENS,40.74050872,-73.81505321
BRONX,40.82738533,-73.9245495
BROOKLYN,40.63726723,-73.99932983
BROOKLYN,40.65072024,-73.93025948
QUEENS,40.70050133,-73.899372
BROOKLYN,40.64225265,-73.97932409
BROOKLYN,40.64265622,-73.97979961
BROOKLYN,40.62356152,-73.92736998
QUEENS,40.76849868,-73.91124778
QUEENS,40.76849043,-73.91122974
MANHATTAN,40.75812416,-73.98789701
QUEENS,40.7159738,-73.83336353
QUEENS,40.75233888,-73.83320038
QUEENS,40.77442087,-73.87729411
BROOKLYN,40.60622392,-73.96537987
QUEENS,40.69069487,-73.81391848
BROOKLYN,40.66934037,-73.95056024
BRONX,40.83792195,-73.83477832
QUEENS,40.74899956,-73.89149224
MANHATTAN,40.80264853,-73.95295352
BROOKLYN,40.73766529,-73.95604858
MANHATTAN,40.75669467,-73.97432547
BROOKLYN,40.58205969,-73.95993827
